lat,lon,NDVI_mean,cloud_cover_land,temperature_2m,relativehumidity_2m,windspeed_10m,scene_id_LC08_L2SP_142051_20220203_20220212_02_T1,scene_id_LC08_L2SP_142051_20220526_20220602_02_T1,scene_id_LC09_L2SP_142051_20220110_20230502_02_T1,scene_id_LC09_L2SP_142051_20220331_20230423_02_T1,scene_id_LC09_L2SP_142051_20220502_20230418_02_T1,scene_id_LC09_L2SP_142051_20220603_20230414_02_T1,scene_id_LC09_L2SP_142051_20220822_20230401_02_T1,scene_id_LC09_L2SP_142051_20220923_20230328_02_T1,scene_id_LC09_L2SP_142051_20221025_20230324_02_T1,scene_id_LC09_L2SP_142051_20221228_20230316_02_T1,image_id,label_class,lst
1.5702994460298214e-12,0.9999999999586748,0.7522005459757748,0.008794619762027936,0.5064741035856573,0.0,0.35827186512118037,False,False,False,False,False,False,False,False,True,False,tile_r0_c9_2022-10-25,1,30.142837344103206
1.5702994460298214e-12,0.9999999999586748,0.5564381481048202,0.03259182617692705,0.5732071713147415,0.8743243243243244,0.6912539515279241,False,True,False,False,False,False,False,False,False,False,tile_r0_c9_2022-05-26,0,28.912601832357165
1.5702994460298214e-12,0.9999999999586748,0.5846089737091846,0.058975685463010866,0.5986055776892432,0.5243243243243243,0.43940990516333,False,False,False,False,False,False,False,True,False,False,tile_r0_c9_2022-09-23,1,31.41780078087164
1.5702994460298214e-12,0.9999999999586748,0.5106100246163493,0.06104500775995861,0.6055776892430282,0.810810810810811,0.6262732701088867,False,False,False,False,False,True,False,False,False,False,tile_r0_c9_2022-06-03,1,34.29012752801446
1.5702994460298214e-12,0.9999999999586748,0.4967688850779476,0.2224521469218831,0.4970119521912353,0.743243243243243,0.5641025641025643,False,False,False,False,False,False,True,False,False,False,tile_r0_c9_2022-08-22,1,33.51696197634639
1.5702994460298214e-12,0.9999999999586748,0.7645914458406534,0.8494568028970512,0.17729083665338674,0.387837837837838,0.4759395855286267,True,False,False,False,False,False,False,False,False,False,tile_r0_c9_2022-02-03,0,26.544075888045786
1.5702994460298214e-12,0.9999999999586748,0.6691026924762269,0.9311950336264873,0.29083665338645437,0.7162162162162162,0.07727432384966632,False,False,False,False,False,False,False,False,False,True,tile_r0_c9_2022-12-28,0,27.606305567585228
1.5702994460298214e-12,0.9999999999586748,0.5620926181818678,1.0,0.31523904382470125,0.43918918918918903,0.28240252897787155,False,False,True,False,False,False,False,False,False,False,tile_r0_c9_2022-01-10,0,27.82742005263726
0.2500000000449063,2.1316282072803006e-11,0.6327824571845191,0.0,0.7455179282868531,0.3918918918918921,0.3380751668422902,False,False,False,True,False,False,False,False,False,False,tile_r1_c0_2022-03-31,2,41.55601142021828
0.2500000000449063,2.1316282072803006e-11,0.6833296099611441,0.008794619762027936,0.2031872509960162,0.2797297297297301,0.04004214963119079,False,False,False,False,False,False,False,False,True,False,tile_r1_c0_2022-10-25,2,36.56232806823918
0.2500000000449063,2.1316282072803006e-11,0.6572185649710872,0.03259182617692705,0.7734063745019926,0.25810810810810825,0.2262030207235688,False,True,False,False,False,False,False,False,False,False,tile_r1_c0_2022-05-26,2,40.963209183188674
0.2500000000449063,2.1316282072803006e-11,0.679214664189944,0.058975685463010866,0.6942231075697212,0.12162162162162171,0.1770284510010538,False,False,False,False,False,False,False,True,False,False,tile_r1_c0_2022-09-23,2,43.10398006624431
0.2500000000449063,2.1316282072803006e-11,0.6427025452480316,0.06104500775995861,0.9970119521912348,0.022972972972973293,0.19669827889005975,False,False,False,False,False,True,False,False,False,False,tile_r1_c0_2022-06-03,2,51.16051843105809
